experiment,feature_number,network,libraryID,manual check - Library,manual check - CANOPUS,conciseConsensusLibrary,conciseConsensusCanopus,conciseConsensusLevelLibrary,GnpsJobID,Mirror Plot verified?
dataset1,15852,691,"""""""N,N-Dimethyldodecylamine N-oxide""""""",correct,NA,Aminoxides,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7006,5262,(-)-.alpha.-Kainic acid,correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8680,5262,(-)-.alpha.-Kainic acid,correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7006,1525,(-)-.alpha.-Kainic acid,correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8680,1525,(-)-.alpha.-Kainic acid,correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13382,-1,(-)-Caryophyllene oxide,correct,NA,Sesquiterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,5545,122,(-)-Caryophyllene oxide,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,9373,-1,(-)-Caryophyllene oxide,correct,NA,Sesquiterpenoids,NA,NA,89c9d8b0a49d467390b70dd337bc7015,
dataset1,4421,-1,(-)-Corey lactone diol,correct,NA,Gamma butyrolactones,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,15047,2164,(-)-Hydroxymatairesinol,Not correct?,NA,Tetrahydrofuran lignans,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,968,-1,(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide,Not correct?,NA,Carboximidic acids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,18165,-1,(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide,Not correct?,NA,Carboximidic acids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,5940,-1,(.+/-.)-4-Methylamphetamine,correct,NA,Phenethylamines,NA,NA,89c9d8b0a49d467390b70dd337bc7015,
dataset1,3634,-1,(.+/-.)-Cannabichromene,correct,NA,1-benzopyrans,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,3599,4816,(.+/-.)7-epi-Jasmonic acid,correct,?,Lineolic acids and derivatives,Fatty Acyls,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3599,716,(.+/-.)7-epi-Jasmonic acid,correct,NA,Lineolic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,1481,1515,(+-)-2-cis-4-trans-Abscisic acid,correct,Not correct?,Prenol lipids,Terpene lactones,class,89c9d8b0a49d467390b70dd337bc7015,
dataset1,3859,302,(+)-Abscisic acid,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3859,653,(+)-Abscisic acid,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8315,393,(+)-Aphidicolin,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12781,-1,(+)-Aphidicolin,correct,NA,Diterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,8315,-1,(+)-Aphidicolin,correct,NA,Diterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,13696,1005,(+)-Dihydrocervone,correct,Not correct?,Monoterpenoids,Organic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13696,1856,(+)-Dihydrocervone,correct,NA,Monoterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,145,-1,"(1R,3R,6R,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0?,??.0?,?.0?,??.0??,??]nonadecane-5,15,18-trione",correct,NA,Terpene lactones,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,680,-1,"(1S,8R,16S,17R)-11,12-dimethoxy-5,15-diazahexacyclo[13.4.2.0?,??.0?,??.0?,??.0?,??]henicosa-2,9,11,13-tetraen-21-one",Not correct?,NA,Aminoquinolines and derivatives,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9667,-1,(1S)-(+)-Camphorquinone,correct,NA,Monoterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,7698,-1,"(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[4-(4-hydroxyphenyl)butan-2-yloxy]oxane-3,4,5-triol",?,NA,Fatty acyl glycosides,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,18604,7204,"(3,6,9-trimethylidene-2-oxo-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-8-yl) acetate",correct,correct,Terpene lactones,Terpene lactones,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18604,1470,"(3,6,9-trimethylidene-2-oxo-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-8-yl) acetate",correct,NA,Terpene lactones,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12126,-1,"(E)-2-(hydroxymethyl)-3-(3-oxo-5-propan-2-yl-4,5,6,7-tetrahydro-1H-2-benzofuran-4-yl)prop-2-enoic acid",correct,NA,Terpene lactones,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,8612,-1,(E)-5-(4-methoxy-5-methyl-6-oxopyran-2-yl)-3-methylhex-4-enoic acid,correct,NA,Fatty acids and conjugates,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9849,-1,(R)-(+)-Citronellic acid,correct,NA,Monoterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,12314,21,(R)-Butyrylcarnitine,correct,correct,Fatty acid esters,Fatty Acyls,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12314,1028,(R)-Butyrylcarnitine,correct,NA,Fatty acid esters,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11797,1431,(S)-Dibutyl 3-hydroxybutyl phosphate,correct,correct,Phosphate esters,Organic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11797,239,(S)-Dibutyl 3-hydroxybutyl phosphate,correct,NA,Phosphate esters,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8399,1670,(Z)-6-Octadecenoic acid,correct,Not correct?,Fatty acids and conjugates,Fatty Acyls,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,8399,128,(Z)-6-Octadecenoic acid,correct,correct,Fatty acids and conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset4,49427,1,(Z)-N-hexadec-9-enoyl-L-phenylalanine,correct,correct,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues","Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",subclass,a94feb20e4214375bf89dfbe2b28fbd4,
dataset1,10904,563,[Glu1] TRH,?,NA,Phenylpropanoids and polyketides,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,10904,113,[Glu1] TRH,?,NA,Phenylpropanoids and polyketides,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11654,4139,"{2,11,16-trihydroxy-5,5-dimethyl-14-methylidene-15-oxotetracyclo[11.2.1.0鹿,鹿???.0???,???]hexadecan-9-yl}methyl acetate",?,?,Diterpenoids,Diterpenoids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11654,1381,"{2,11,16-trihydroxy-5,5-dimethyl-14-methylidene-15-oxotetracyclo[11.2.1.0鹿,鹿???.0???,???]hexadecan-9-yl}methyl acetate",?,NA,Diterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,1860,114,0327_Tris(1-chloro-2-propyl)phosphate,correct,NA,Phosphate esters,NA,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,616,1431,0821_triethylphosphate,correct,correct,Phosphate esters,Organic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,616,239,0821_triethylphosphate,correct,NA,Phosphate esters,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14819,2796,1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine,correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14819,2846,1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine,correct,NA,Glycerophosphocholines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3904,923,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4541,923,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4863,923,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7665,923,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7735,923,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,3904,641,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4541,641,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4863,641,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7665,641,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,7735,641,1-(4-Methoxyphenyl)-2-propanone,correct,NA,Phenylpropanes,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1542,-1,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol",correct,NA,Benzyl alcohols,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,2508,5064,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol",correct,NA,Benzyl alcohols,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2508,7010,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol",correct,NA,Benzyl alcohols,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,4533,102,1-Hexadecyl-sn-glycero-3-phosphocholine,correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,11252,-1,1-Methyl-3-nicotinoylpyrrolidine,correct,NA,Carbonyl compounds,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,1378,343,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,correct,Glycerophosphoethanolamines,Organic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,19741,343,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,correct,Glycerophosphoethanolamines,Organic acids and derivatives,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1378,673,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,NA,Glycerophosphoethanolamines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,19741,673,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,NA,Glycerophosphoethanolamines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,864,213,1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine,correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,5432,213,1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine,correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,4409,2796,1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine,correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4409,2846,1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine,correct,NA,Glycerophosphocholines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,17236,-1,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,NA,Glycerophosphoglycerols,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,17239,-1,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,NA,Glycerophosphoglycerols,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,6778,29,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,7387,-1,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,NA,Glycerophosphoglycerols,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset2,4542,29,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,4543,29,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,5187,260,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Lipids and lipid-like molecules,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,6013,81,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Lipids and lipid-like molecules,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,8483,29,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,8759,29,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,8842,260,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Lipids and lipid-like molecules,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,9737,260,1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Lipids and lipid-like molecules,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,8163,29,1-palmitoyl-2-linoleoyl-sn-glycero-3-phospho-(1'-rac-glycerol),correct,correct,Glycerophosphoglycerols,Glycerophosphoglycerols,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,1634,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",correct,NA,Amines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,5247,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",correct,NA,Amines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,7076,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",correct,NA,Amines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9073,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",correct,NA,Amines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,12983,598,1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,not correct?,Glycerophosphoethanolamines,"Amino acids, peptides, and analogues",subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12983,6980,1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,correct,NA,Glycerophosphoethanolamines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1973,393,"1,2-Benzenediamine, 4-methyl-N1-(3-phenylpropyl)-",not correct?,not correct?,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1973,-1,"1,2-Benzenediamine, 4-methyl-N1-(3-phenylpropyl)-",correct,NA,Phenylpropylamines,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,9776,793,"1,2-Benzenedicarboxylic acid",correct,correct,Benzoic acids and derivatives,Benzenoids,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9776,592,"1,2-Benzenedicarboxylic acid",correct,NA,Benzoic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,8369,42,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine",correct,correct,Glycerophosphocholines,Glycerophosphocholines,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,6804,260,"1,2-Dilinolenoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",correct,correct,Glycerophosphoglycerols,Lipids and lipid-like molecules,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,2580,9,"1,3-Dicyclohexylurea",correct,NA,Ureas,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11374,-1,"1,3,5(10),7-Estratetraen-3,17.beta.-diol 3-sulfate",correct,NA,Sulfated steroids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,12855,4464,"1,4-Benzenediamine, N-phenyl-",correct,correct,Aniline and substituted anilines,Aniline and substituted anilines,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12855,10,"1,4-Benzenediamine, N-phenyl-",correct,NA,Aniline and substituted anilines,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4900,1480,"1,4-Dihydroxy-2-naphthoic acid",correct,correct,Naphthalenecarboxylic acids and derivatives,Phenylpropanoids and polyketides,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6397,1480,"1,4-Dihydroxy-2-naphthoic acid",correct,correct,Naphthalenecarboxylic acids and derivatives,Phenylpropanoids and polyketides,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18660,1480,"1,4-Dihydroxy-2-naphthoic acid",correct,correct,Naphthalenecarboxylic acids and derivatives,Phenylpropanoids and polyketides,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,4900,701,"1,4-Dihydroxy-2-naphthoic acid",correct,NA,Naphthalenecarboxylic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,6397,701,"1,4-Dihydroxy-2-naphthoic acid",correct,NA,Naphthalenecarboxylic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18660,701,"1,4-Dihydroxy-2-naphthoic acid",correct,NA,Naphthalenecarboxylic acids and derivatives,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset2,7522,-1,"1,4-Naphthoquinone",correct,NA,Naphthoquinones,NA,NA,89c9d8b0a49d467390b70dd337bc7015,
dataset1,1268,2149,"1,9-Dideoxyforskolin",correct,NA,Triterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18699,2149,"1,9-Dideoxyforskolin",correct,NA,Triterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1268,3310,"1,9-Dideoxyforskolin",correct,NA,Triterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18699,3310,"1,9-Dideoxyforskolin",correct,NA,Triterpenoids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
