,SMILES,inchikey,kingdom,superclass,CF_class,subclass,direct_parent,molecular_framework
95,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=BVJSKAUUFXBDOB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
96,NCCOCCOCCNC1=CC=CC(NCCOCCOCCN)=N1,InChIKey=JNXFIRVCCLBJMA-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,Aminopyridines and derivatives,Aromatic heteromonocyclic compounds
97,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=JSKJPUCKVIJTKI-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
98,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None
100,CCCCCCCCCC1OC(=O)C(CO)N=C(O)C(N=C(O)C(N=C(O)C(C)C(O)C1C)C(C)C)C(C)O,InChIKey=CBEIHVWVTGRGDR-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Aliphatic heteromonocyclic compounds
101,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=YVYMBNSKXOXSKW-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
102,None,None,None,None,None,None,None,None
103,None,None,None,None,None,None,None,None
104,None,None,None,None,None,None,None,None
105,None,None,None,None,None,None,None,None
106,None,None,None,None,None,None,None,None
107,CCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=FGHPDPYCRTXYNZ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
108,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None
112,CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,InChIKey=FVTCRASFADXXNN-UHFFFAOYSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,,Flavin nucleotides,Aromatic heteropolycyclic compounds
113,NC(CC1=CC=CC=C1)C(O)=O,InChIKey=COLNVLDHVKWLRT-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aromatic homomonocyclic compounds
114,None,None,None,None,None,None,None,None
115,NC(CC1=CC=CC=C1)C(=O)NC(CCC(N)=O)C(O)=O,InChIKey=KLAONOISLHWJEE-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
116,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=XEVRBOQZSXWGQO-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
117,None,None,None,None,None,None,None,None
118,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=JSKJPUCKVIJTKI-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
119,CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=WPGYUFCFBKWCSL-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
120,NC(CC1=CC=CC=C1)C(O)=O,InChIKey=COLNVLDHVKWLRT-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aromatic homomonocyclic compounds
121,None,None,None,None,None,None,None,None
122,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(O)(O)=O,InChIKey=DVNZKWQUAXJYGB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,1-acylglycerol-3-phosphates,Aliphatic acyclic compounds
123,None,None,None,None,None,None,None,None
124,None,None,None,None,None,None,None,None
125,NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,InChIKey=OMSMPWHEGLNQOD-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
126,None,None,None,None,None,None,None,None
127,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=DBHKHNGBVGWQJE-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
128,None,None,None,None,None,None,None,None
129,CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCO,InChIKey=RTCHKMVKKMTDJG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Aliphatic acyclic compounds
130,CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=WPGYUFCFBKWCSL-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
131,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=XEVRBOQZSXWGQO-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
132,None,None,None,None,None,None,None,None
133,None,None,None,None,None,None,None,None
134,None,None,None,None,None,None,None,None
135,None,None,None,None,None,None,None,None
136,None,None,None,None,None,None,None,None
137,CCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN,InChIKey=OKXWJISJKQKUTN-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Monoalkylglycerophosphoethanolamines,Aliphatic acyclic compounds
138,None,None,None,None,None,None,None,None
139,None,None,None,None,None,None,None,None
140,None,None,None,None,None,None,None,None
141,None,None,None,None,None,None,None,None
142,None,None,None,None,None,None,None,None
143,None,None,None,None,None,None,None,None
144,None,None,None,None,None,None,None,None
145,NC(CCC(=O)NC(CSN=O)C(=O)NCC(O)=O)C(O)=O,InChIKey=HYHSBSXUHZOYLX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Aliphatic acyclic compounds
146,None,None,None,None,None,None,None,None
147,[H]C(CCCCCCCC)=C([H])CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=PYVRVRFVLRNJLY-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
148,None,None,None,None,None,None,None,None
149,CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=RPXHXZNGZBHSMJ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
150,None,None,None,None,None,None,None,None
151,NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,InChIKey=XTWSWDJMIKUJDQ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
152,OC(=O)C1CCCN1C(=O)C1CCC(=O)N1,InChIKey=PFEJJYZYEFRQEA-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic heteromonocyclic compounds
153,None,None,None,None,None,None,None,None
154,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=KCWGBXXAJHVZNN-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
155,None,None,None,None,None,None,None,None
156,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,InChIKey=YZUUTMGDONTGTN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Aliphatic acyclic compounds
157,None,None,None,None,None,None,None,None
158,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,InChIKey=YZUUTMGDONTGTN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Aliphatic acyclic compounds
159,None,None,None,None,None,None,None,None
160,None,None,None,None,None,None,None,None
161,None,None,None,None,None,None,None,None
162,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O,InChIKey=XIVOBOJQPNEUSC-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1-acyl-glycerol-3-phosphoserines,Aliphatic acyclic compounds
163,None,None,None,None,None,None,None,None
164,None,None,None,None,None,None,None,None
165,NC(CCCN=C(N)N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,InChIKey=PQBHGSGQZSOLIR-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
166,None,None,None,None,None,None,None,None
167,CC1=NC(O)=C2N=CN(C3CC4OP(=S)(OCC=C)OCC4O3)C2=N1,InChIKey=XMBFEKQYEJGFAX-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,Aromatic heteropolycyclic compounds
168,None,None,None,None,None,None,None,None
169,CC(C)C(NC(=O)C1CCC(=O)N1)C(O)=O,InChIKey=DTSWLLBBGHRXQH-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic heteromonocyclic compounds
170,None,None,None,None,None,None,None,None
171,None,None,None,None,None,None,None,None
172,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=JSKJPUCKVIJTKI-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
173,None,None,None,None,None,None,None,None
174,NC1=C(N=CN1C1OC(COP(O)(O)=O)C(O)C1O)C(O)=NCCCCCO,InChIKey=WMBHDKGRYQLDAH-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Pentose phosphates,Aromatic heteromonocyclic compounds
175,NCCCCC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,InChIKey=QCZYYEFXOBKCNQ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
176,[H][C@@](C)(CCC(O)=NCCS(O)(=O)=O)[C@@]1([H])CCC2=C3CC[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,InChIKey=ZHIOPWBNNOBQTM-FBMNSWLJSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",Aliphatic homopolycyclic compounds
177,None,None,None,None,None,None,None,None
178,None,None,None,None,None,None,None,None
179,None,None,None,None,None,None,None,None
180,CC(C)CC(NC(=O)C(N)CO)C(O)=O,InChIKey=NFDYGNFETJVMSE-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic acyclic compounds
181,None,None,None,None,None,None,None,None
182,CC(C)CC(NC(C)=O)C(=O)NC(CCC(O)=O)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(O)=O)C(O)=O,InChIKey=FIOHPTQMMSUNBG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Aromatic heteromonocyclic compounds
183,CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=HEQMDGOBDIGJOC-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
184,None,None,None,None,None,None,None,None
185,None,None,None,None,None,None,None,None
186,None,None,None,None,None,None,None,None
187,None,None,None,None,None,None,None,None
188,None,None,None,None,None,None,None,None
189,CCCCCCCCCCCCCCCC(O)C(N)COP(O)(O)=O,InChIKey=YHEDRJPUIRMZMP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,Phosphosphingolipids,Aliphatic acyclic compounds
190,CCCCCCCCCCCCCCCCNC1=C(N)C(=NC=N1)N(CCOC)CCOC,InChIKey=BRJLNXMSNXIMBK-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylarylamines,Aromatic heteromonocyclic compounds
191,None,None,None,None,None,None,None,None
192,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=NTBBASCGALPTDC-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
193,None,None,None,None,None,None,None,None
194,None,None,None,None,None,None,None,None
195,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=BBYWOYAFBUOUFP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
196,None,None,None,None,None,None,None,None
197,None,None,None,None,None,None,None,None
198,None,None,None,None,None,None,None,None
199,CC(O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,InChIKey=DXVLAUMXGHQKAV-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols,Aliphatic acyclic compounds
200,CC(=O)NC1C(O)OC(CO)C(O)C1O,InChIKey=OVRNDRQMDRJTHS-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,Aliphatic heteromonocyclic compounds
201,None,None,None,None,None,None,None,None
202,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=DBHKHNGBVGWQJE-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
203,None,None,None,None,None,None,None,None
204,NC1=NC=NC2=C1N=CN2C1OC(CO)C(OP(O)(O)=O)C1O,InChIKey=LNQVTSROQXJCDD-UHFFFAOYSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,,Ribonucleoside 3'-phosphates,Aromatic heteropolycyclic compounds
205,None,None,None,None,None,None,None,None
206,None,None,None,None,None,None,None,None
207,None,None,None,None,None,None,None,None
208,CCCCCCCCCCCC(=O)N(CCO)CCO,InChIKey=AOMUHOFOVNGZAN-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,Aliphatic acyclic compounds
209,None,None,None,None,None,None,None,None
210,CCC=CCC1C(CCCCCCCC(=O)OCC(O)COC2OC(CO)C(O)C(O)C2O)C=CC1=O,InChIKey=AABZWWBXDMYGEW-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,Aliphatic heteromonocyclic compounds
211,None,None,None,None,None,None,None,None
212,CCC(C)C(N)C(=O)NC(CCCN=C(N)N)C(O)=O,InChIKey=HYXQKVOADYPQEA-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic acyclic compounds
213,None,None,None,None,None,None,None,None
214,CC(N)C(O)=NC(CCC(O)=O)C(O)=NC(C)C(O)=NC(C)C(O)=NC(CCC(O)=N)C(O)=NC(C)C=O,InChIKey=NHNUPGPPKGYXSY-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Aliphatic acyclic compounds
215,None,None,None,None,None,None,None,None
216,None,None,None,None,None,None,None,None
