	rank	#adducts	#predictedFPs	Confidence_Score	CSI:FingerID_Score	Zodiac_Score	TreeIsotope_Score	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	id	Original_Path	scan	sirius_id	experimentName
10	11	4	4	0.9039837016831510	-113.94271321114000	0.9959798994974870	13.650323977202300	C22H38NO8P	[M + H]+	OSANHMITPKGSPJ	"InChI=1S/C22H38NO8P/c1-23(2,3)16-18-30-32(27,28)31-20-21(25)19-29-22(26)15-13-11-9-7-5-4-6-8-10-12-14-17-24/h4,6-7,9-10,12,17,21,25H,5,8,11,13-16,18-20H2,1-3H3/p+1"		C[N+](C)(C)CCOP(=O)(O)OCC(COC(=O)CCCC=CCC=CCC=CCC=O)O			YMDB Mine:(null)	34359738368	10	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	7057	6044_spectrumfile-00000_7057	7057
11	12	1	1	0.8987877367936550	-124.10842610587600	0.9974874371859300	79.13843212370100	C20H37O8P	[M + H]+	ZMISCBBFNVOMQY	"InChI=1S/C20H37O8P/c1-3-5-6-7-8-9-10-11-12-13-14-15-20(22)26-16-18(28-19(21)4-2)17-27-29(23,24)25/h8-9,18H,3-7,10-17H2,1-2H3,(H2,23,24,25)"		CCCCCC=CCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CC		134693867	PubChem:(134693867)	130	11	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9103	7456_spectrumfile-00000_9103	9103
12	13	4	5	0.8926490946707120	-160.08374676061700	0.9000000000000000	133.46528332521500	C23H42NO9P	[M - H4O2 + H]+	MROAHXOXGSRKRS	"InChI=1S/C23H42NO9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-22(26)31-17-20(25)18-32-34(29,30)33-19-21(24)23(27)28/h5-6,8-9,20-21,25H,2-4,7,10-19,24H2,1H3,(H,27,28)(H,29,30)"	"1-(9Z,12Z-heptadecadienoyl)-glycero-3-phosphoserine"	CCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)O		52926284	PubChem:(52926284)	2	12	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6339	5458_spectrumfile-00000_6339	6339
13	14	4	11	0.8883314686038580	-66.36715754976250	0.9371859296482410	44.74491060218650	C14H17N5O8	[M + H]+	VKGZCEJTCKHMRL	"InChI=1S/C14H17N5O8/c20-2-6-9(23)10(24)13(27-6)19-4-17-8-11(15-3-16-12(8)19)18-5(14(25)26)1-7(21)22/h3-6,9-10,13,20,23-24H,1-2H2,(H,21,22)(H,25,26)(H,15,16,18)"	Succinoadenosine	C1=NC2=C(C(=N1)NC(CC(=O)O)C(=O)O)N=CN2C3C(C(C(O3)CO)O)O		165243;14803430;20849084;20849085;20849086;71752227;90141696;90143473;101544912;121370762;126969142;131706424	HMDB:(912);Natural Products:(UNPD4525 UNPD94621);PubChem:(165243 14803430 20849084 20849085 20849086 71752227 90141696 90143473 101544912 121370762 126969142 131706424);YMDB Mine:(null);CHEBI:(71169);ZINC bio:(ZINC12494556);EcoCyc Mine:(null);MeSH:(165243 20849086 126969142);PubMed:(null);KEGG Mine:(null)	60129583342	13	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4235	3720_spectrumfile-00000_4235	4235
14	15	1	1	0.8876245925288600	-120.51217848548500	1.0	18.125044605729700	C11H19NO5	[M + H]+	NGHNCQYFTPFRAD	"InChI=1S/C11H19NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h9H,5-7H2,1-4H3/p+1"	3-(3-oxobutanoyloxy)-4-(trimethylazaniumyl)butanoate	CC(=O)CC(=O)OC(CC(=O)O)C[N+](C)(C)C		12879829;12879830;88730540;88730541;135392121	PubChem:(12879829 12879830 88730540 88730541 135392121);CHEBI:(84841)	34	14	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	5043	4338_spectrumfile-00000_5043	5043
15	16	4	12	0.8721438487978560	-118.67493493531200	0.9241206030150750	28.24479870127370	C11H22N2O7S	[M + H]+	PSAJPLNSWWYXDV	"InChI=1S/C11H22N2O7S/c1-11(2,7-14)9(16)10(17)13-4-3-8(15)12-5-6-21(18,19)20/h9,14,16H,3-7H2,1-2H3,(H,12,15)(H,13,17)(H,18,19,20)"		CC(C)(CO)C(C(=O)NCCC(=O)NCCS(=O)(=O)O)O		9927350;74821044	PubChem:(9927350 74821044)	2	15	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	8097	6827_spectrumfile-00000_8097	8097
16	17	1	1	0.8703980462146190	-91.29343916450780	0.9989949748743720	90.86782746003360	C29H41N5O9	[M + H]+	WRNQQFNBEUKAAX	"InChI=1S/C29H41N5O9/c1-16(2)24(26(39)31-20(11-12-23(36)37)28(41)34-14-4-6-22(34)29(42)43)32-25(38)21-5-3-13-33(21)27(40)19(30)15-17-7-9-18(35)10-8-17/h7-10,16,19-22,24,35H,3-6,11-15,30H2,1-2H3,(H,31,39)(H,32,38)(H,36,37)(H,42,43)"	(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-1-[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]-4-carboxybutanoyl]pyrrolidine-2-carboxylic acid	CC(C)C(C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=C(C=C3)O)N		11387861;131769848	PubChem:(11387861 131769848);HMDB:(60144)	138	16	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9287	7608_spectrumfile-00000_9287	9287
17	18	1	4	0.8671862359148740	-171.03427660939600	0.9412060301507540	13.634924250171700	C24H40NO8P	[M + H]+	UCNFOTFQFNWWMI	"InChI=1S/C24H40NO8P/c1-6-8-10-12-14-16-23(26)30-20-22(33-24(27)17-15-13-11-9-7-2)21-32-34(28,29)31-19-18-25(3,4)5/h10-17,22H,6-9,18-21H2,1-5H3/p+1"	"1,2-di-(2E,4E-octadienoyl)-sn-glycero-3-phosphocholine"	CCCC=CC=CC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)C=CC=CCCC		5313818;24779246	PubChem:(5313818 24779246)	2	17	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	7067	6054_spectrumfile-00000_7067	7067
18	19	1	31	0.8589154286746420	-8.199902174291370	0.025628140703517600	34.32739371340530	C24H50NO7P	[M + Na]+	ASWBNKHCZGQVJV	"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1"	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820	HMDB:(10382 62541);ZINC bio:(ZINC08214423 ZINC08219063);MeSH:(86554 460602 460602);GNPS:(CCMSLIB00000077195);Plantcyc:(CPD-8343);PubMed:(null);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820);CHEBI:(72998 28468);KEGG:(C04102);YMDB:(1179);Training Set:(null);Biocyc:(CPD-8343)	260590	18	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4580	4062_spectrumfile-00000_4580	4580
19	20	1	1	0.8583152140352150	-102.21001614054600	1.0	31.406464688849200	C19H34NO8P	[M + H]+	DNYULNURGAELEF	"InChI=1S/C19H34NO8P/c1-20(2,3)13-15-27-29(24,25)28-17-18(22)16-26-19(23)12-10-8-6-4-5-7-9-11-14-21/h4,6-7,9,14,18,22H,5,8,10-13,15-17H2,1-3H3/p+1"		C[N+](C)(C)CCOP(=O)(O)OCC(COC(=O)CCCC=CCC=CCC=O)O			YMDB Mine:(null)	34359738368	19	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9645	7899_spectrumfile-00000_9645	9645
20	21	1	5	0.8577385614727250	-7.8109439981511800	0.021105527638191000	25.027984004575100	C24H50NO7P	[M + Na]+	ASWBNKHCZGQVJV	"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1"	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820	HMDB:(10382 62541);ZINC bio:(ZINC08214423 ZINC08219063);MeSH:(86554 460602 460602);GNPS:(CCMSLIB00000077195);Plantcyc:(CPD-8343);PubMed:(null);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820);CHEBI:(72998 28468);KEGG:(C04102);YMDB:(1179);Training Set:(null);Biocyc:(CPD-8343)	260590	20	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4582	4064_spectrumfile-00000_4582	4582
21	22	1	2	0.8573867508817420	-76.4555297074887	0.8969849246231160	134.13279409154000	C20H40NO7P	[M + H]+	MTAKQPCXFDXVHS	"InChI=1S/C20H40NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-20(23)26-17-19(22)18-28-29(24,25)27-16-15-21/h6-7,19,22H,2-5,8-18,21H2,1H3,(H,24,25)"	1-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine	CCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O		52925134;134750678	PubChem:(52925134 134750678)	2	21	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4364	3847_spectrumfile-00000_4364	4364
22	23	1	1	0.8570767814312410	-106.71101588296500	1.0	15.501955644888700	C25H44NO8P	[M + H]+	YCTBTIMJXKSYPT	"InChI=1S/C25H44NO8P/c1-26(2,3)19-21-33-35(30,31)34-23-24(28)22-32-25(29)18-16-14-12-10-8-6-4-5-7-9-11-13-15-17-20-27/h4,6-7,9,13,15,20,24,28H,5,8,10-12,14,16-19,21-23H2,1-3H3/p+1"		C[N+](C)(C)CCOP(=O)(O)OCC(COC(=O)CCCCCCC=CCC=CCC=CCC=O)O			YMDB Mine:(null)	34359738368	22	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9784	8020_spectrumfile-00000_9784	9784
23	24	1	3	0.8538695687058500	-261.94411074865700	0.2879396984924620	72.3441870527259	C29H57N3O11	[M + H]+	CLRIXUVBOLGDSK	"InChI=1S/C29H57N3O11/c1-6-15-19(8-33)42-22(25(31-4)27(15)36)13-40-12-17-21(10-35)43-23(26(32-5)29(17)38)14-39-11-16-20(9-34)41-18(7-2)24(30-3)28(16)37/h15-38H,6-14H2,1-5H3"	5-ethyl-2-[[6-[[6-ethyl-4-hydroxy-2-(hydroxymethyl)-5-(methylamino)oxan-3-yl]methoxymethyl]-4-hydroxy-2-(hydroxymethyl)-5-(methylamino)oxan-3-yl]methoxymethyl]-6-(hydroxymethyl)-3-(methylamino)oxan-4-ol	CCC1C(OC(C(C1O)NC)COCC2C(OC(C(C2O)NC)COCC3C(OC(C(C3O)NC)CC)CO)CO)CO		60059549	PubChem:(60059549)	2	23	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6468	5587_spectrumfile-00000_6468	6468
24	25	1	2	0.8521316256464760	-56.30336335575330	0.011055276381909500	12.301476037207800	C28H54NO10P	[M + Na]+	GEUVQGBCEQLWKK	"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)/p+1"		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCC(=O)O		10886501;10886502;102496567;134812294	PubChem:(10886501 10886502 102496567 134812294)	130	24	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	7171	6156_spectrumfile-00000_7171	7171
25	26	1	1	0.8495201147945840	-12.1653041535279	1.0	43.4164992728294	C26H54NO7P	[M + H]+	IHNKQIMGVNPMTC	"InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3/p+1"	1-18:0-lysoPC	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		86556;86557;497299;497300;5313984;10436817	HMDB:(10384);Natural Products:(UNPD115977);PubChem:(86556 86557 497299 497300 5313984 10436817);CHEBI:(73858);EcoCyc Mine:(null);MeSH:(86556 497299 497300);YMDB:(1187);Training Set:(null);PubMed:(null);Biocyc:(CPD-8345)	17179986158	25	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6396	5515_spectrumfile-00000_6396	6396
26	27	1	1	0.8481029813640370	-11.38601722593640	1.0	37.43030279022340	C24H50NO7P	[M + H]+	ASWBNKHCZGQVJV	"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1"	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820	HMDB:(10382 62541);ZINC bio:(ZINC08214423 ZINC08219063);MeSH:(86554 460602 460602);GNPS:(CCMSLIB00000077195);Plantcyc:(CPD-8343);PubMed:(null);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820);CHEBI:(72998 28468);KEGG:(C04102);YMDB:(1179);Training Set:(null);Biocyc:(CPD-8343)	260590	26	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	807	751_spectrumfile-00000_807	807
27	28	1	2	0.8435662946587730	-193.20191161237300	0.06482412060301510	33.99367496078820	C9H13N4O9P	[M + Na]+	OVTSGFBOUPAASR	"InChI=1S/C9H13N4O9P/c10-7(16)4-8(12-17)13(2-11-4)9-6(15)5(14)3(22-9)1-21-23(18,19)20/h2-3,5-6,9,14-15H,1H2,(H2,10,16)(H2,18,19,20)"		C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N=O)C(=O)N			EcoCyc Mine:(null);YMDB Mine:(null);KEGG Mine:(null)	60129542144	27	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	3007	2679_spectrumfile-00000_3007	3007
28	29	3	4	0.8423163771222140	-59.634687463544600	0.985427135678392	13.231419827435200	C28H54NO10P	[M - H2O + H]+	GEUVQGBCEQLWKK	"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)/p+1"		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCC(=O)O		10886501;10886502;102496567;134812294	PubChem:(10886501 10886502 102496567 134812294)	130	28	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	7140	6125_spectrumfile-00000_7140	7140
29	30	1	5	0.8377190319683430	-62.23806697067710	0.9738693467336680	13.860724082456400	C28H54NO10P	[M + H]+	GEUVQGBCEQLWKK	"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)/p+1"		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCC(=O)O		10886501;10886502;102496567;134812294	PubChem:(10886501 10886502 102496567 134812294)	130	29	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4741	4222_spectrumfile-00000_4741	4741
30	31	4	4	0.8362439548678960	-11.766986026056700	1.0	42.70153834082690	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N		1148;6305;9060;148495;165635;450586;444881;3090777;4099458;5460842;5460846;5460847;5460853;6923516;6923517;9990558;10130455;10375724;10608299;10998177;11063573;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;12968609;16055314;16055538;16217284;16217285;18728411;22525023;22525024;22525025;25240582;25241001;46783211;51037435;51037434;51037436;54230365;54230366;54230367;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;59340907;59373185;71309138;71309644;71752878;87528068;88162003;89059443;90793774;101365132;101738964;101759576;102243993;102176481;118264382;119077376;122412257;122412258;123282542;123759225;124202799;129716752;129723314;129843791;129882765;129882951;131698648;132562672;132562673;132562674;132562675;132562676	HMDB:(929 13609 30396);ZINC bio:(ZINC00083315 ZINC00083317);HSDB:(73-22-3);MeSH:(6305 6923516);Plantcyc:(D-TRYPTOPHAN TRP);PubMed:(null);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 450586 444881 3090777 4099458 5460842 5460846 5460847 5460853 6923516 6923517 9990558 10130455 10375724 10608299 10998177 11063573 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 12968609 16055314 16055538 16217284 16217285 18728411 22525023 22525024 22525025 25240582 25241001 46783211 51037435 51037434 51037436 54230365 54230366 54230367 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 59340907 59373185 71309138 71309644 71752878 87528068 88162003 89059443 90793774 101365132 101738964 101759576 102243993 102176481 118264382 119077376 122412257 122412258 123282542 123759225 124202799 129716752 129723314 129843791 129882765 129882951 131698648 132562672 132562673 132562674 132562675 132562676);CHEBI:(64554 57912 57719 32728 32727 32717 32716 32704 32702 27897 16828 16296);KEGG:(C00078 C00806 C00525);YMDB:(126 998);Training Set:(null);Biocyc:(D-TRYPTOPHAN SMA-0000024 TRP)	257022	30	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	5950	5080_spectrumfile-00000_5950	5950
31	32	4	4	0.8360322048492150	-11.755253192612100	1.0	43.162034852796100	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N		1148;6305;9060;148495;165635;450586;444881;3090777;4099458;5460842;5460846;5460847;5460853;6923516;6923517;9990558;10130455;10375724;10608299;10998177;11063573;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;12968609;16055314;16055538;16217284;16217285;18728411;22525023;22525024;22525025;25240582;25241001;46783211;51037435;51037434;51037436;54230365;54230366;54230367;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;59340907;59373185;71309138;71309644;71752878;87528068;88162003;89059443;90793774;101365132;101738964;101759576;102243993;102176481;118264382;119077376;122412257;122412258;123282542;123759225;124202799;129716752;129723314;129843791;129882765;129882951;131698648;132562672;132562673;132562674;132562675;132562676	HMDB:(929 13609 30396);ZINC bio:(ZINC00083315 ZINC00083317);HSDB:(73-22-3);MeSH:(6305 6923516);Plantcyc:(D-TRYPTOPHAN TRP);PubMed:(null);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 450586 444881 3090777 4099458 5460842 5460846 5460847 5460853 6923516 6923517 9990558 10130455 10375724 10608299 10998177 11063573 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 12968609 16055314 16055538 16217284 16217285 18728411 22525023 22525024 22525025 25240582 25241001 46783211 51037435 51037434 51037436 54230365 54230366 54230367 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 59340907 59373185 71309138 71309644 71752878 87528068 88162003 89059443 90793774 101365132 101738964 101759576 102243993 102176481 118264382 119077376 122412257 122412258 123282542 123759225 124202799 129716752 129723314 129843791 129882765 129882951 131698648 132562672 132562673 132562674 132562675 132562676);CHEBI:(64554 57912 57719 32728 32727 32717 32716 32704 32702 27897 16828 16296);KEGG:(C00078 C00806 C00525);YMDB:(126 998);Training Set:(null);Biocyc:(D-TRYPTOPHAN SMA-0000024 TRP)	257022	31	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	2727	2421_spectrumfile-00000_2727	2727
