,scan,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
229,240,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
230,241,458,,,,,
231,242,733,Lipids and lipid-like molecules;Prenol lipids,1.0,class,3.0,In silico
232,244,1528,Lipids and lipid-like molecules,0.75,superclass,4.0,In silico
233,245,661,Organic acids and derivatives,0.6538461538461539,superclass,26.0,In silico
234,246,89,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
235,247,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
236,248,2734,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.0,subclass,3.0,In silico
237,249,3158,Lipids and lipid-like molecules;Sphingolipids,1.0,class,2.0,In silico
238,250,163,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
239,251,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
240,252,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
241,253,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
242,254,378,Organoheterocyclic compounds;Tetrapyrroles and derivatives;Chlorins,1.0,subclass,2.0,Library
243,255,-1,,,,,
244,256,1522,,,,,
245,257,458,,,,,
246,258,-1,,,,,
247,259,-1,,,,,
248,260,-1,,,,,
249,261,408,Organoheterocyclic compounds,0.7666666666666666,superclass,12.0,In silico
250,262,-1,,,,,
251,263,7,Lipids and lipid-like molecules,0.9936170212765957,superclass,94.0,In silico
252,264,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
253,265,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
254,266,1015,Organic acids and derivatives;Carboxylic acids and derivatives;Dicarboxylic acids and derivatives,1.0,subclass,1.0,Library
255,267,1703,Lipids and lipid-like molecules;Prenol lipids;Quinone and hydroquinone lipids,1.1,subclass,2.0,In silico
256,268,-1,,,,,
257,269,639,,,,,
258,270,382,,,,,
259,271,-1,,,,,
260,272,222,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
261,273,-1,,,,,
262,274,1592,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,6.0,In silico
263,275,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
264,276,89,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
265,277,2052,,,,,
266,278,163,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
267,279,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
268,280,-1,,,,,
269,281,-1,,,,,
270,282,-1,,,,,
271,283,-1,,,,,
272,284,1653,,,,,
273,285,-1,,,,,
274,286,-1,,,,,
275,287,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
276,288,283,,,,,
277,290,222,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
278,291,-1,,,,,
279,292,530,,,,17.0,In silico
280,293,-1,,,,,
281,294,1109,,,,,
282,295,382,,,,,
283,297,-1,,,,,
284,298,-1,,,,,
285,299,-1,,,,,
286,300,530,,,,17.0,In silico
287,301,-1,,,,,
288,302,222,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
289,303,458,,,,,
290,304,-1,,,,,
291,306,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
292,307,3213,,,,,
293,311,2836,"Lipids and lipid-like molecules;Steroids and steroid derivatives;Bile acids, alcohols and derivatives",1.1,subclass,3.0,In silico
294,312,-1,,,,,
295,313,661,Organic acids and derivatives,0.6538461538461539,superclass,26.0,In silico
296,314,-1,,,,,
297,315,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
298,316,-1,,,,,
299,317,77,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1.0,subclass,1.0,In silico
300,318,222,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
301,319,-1,,,,,
302,320,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
303,321,-1,,,,,
304,322,99,Lipids and lipid-like molecules,1.0,superclass,8.0,Library
305,323,-1,,,,,
306,324,-1,,,,,
307,325,100,Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines,1.1,subclass,4.0,Library
308,326,-1,,,,,
309,328,-1,,,,,
310,329,458,,,,,
311,330,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
312,331,-1,,,,,
313,332,-1,,,,,
314,333,-1,,,,,
315,334,1087,Organoheterocyclic compounds;Heteroaromatic compounds,1.1,class,6.0,In silico
316,335,260,,,,,
317,336,-1,,,,,
318,337,-1,,,,,
319,338,-1,,,,,
320,339,136,,,,,
321,340,-1,,,,,
322,341,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
323,342,1553,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,4.0,In silico
324,343,-1,,,,,
325,344,337,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.85,subclass,40.0,In silico
326,345,458,,,,,
327,346,-1,,,,,
328,347,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
329,348,526,,,,,
330,349,-1,,,,,
331,350,3360,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,2.0,In silico
332,351,1255,,,,,
333,352,-1,,,,,
334,353,-1,,,,,
335,354,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
336,355,-1,,,,,
337,356,-1,,,,,
338,357,142,Organoheterocyclic compounds,1.1,superclass,16.0,In silico
339,358,-1,,,,,
340,359,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
341,360,-1,,,,,
342,361,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
343,362,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
344,363,-1,,,,,
345,364,503,,,,,
346,365,378,Organoheterocyclic compounds;Tetrapyrroles and derivatives;Chlorins,1.0,subclass,2.0,Library
347,366,1166,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.8,subclass,5.0,In silico
348,367,-1,,,,,
349,368,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
350,369,-1,,,,,
351,370,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
352,371,-1,,,,,
353,373,332,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",0.8384615384615385,subclass,65.0,In silico
354,374,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
355,375,4311,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,1.0,In silico
356,376,-1,,,,,
357,377,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
358,378,1213,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1.0,subclass,2.0,In silico
359,379,-1,,,,,
360,380,-1,,,,,
361,381,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
362,382,-1,,,,,
363,383,142,Organoheterocyclic compounds,1.1,superclass,16.0,In silico
364,384,2113,,,,,
365,385,831,Lipids and lipid-like molecules,0.7666666666666666,superclass,6.0,In silico
366,387,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
367,388,-1,,,,,
368,389,-1,,,,,
369,390,2077,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,5.0,In silico
370,391,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
371,392,2186,"Lignans, neolignans and related compounds",1.1,superclass,2.0,In silico
372,393,-1,,,,,
373,394,1258,Lipids and lipid-like molecules,0.7142857142857143,superclass,7.0,In silico
374,395,-1,,,,,
375,396,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
376,397,-1,,,,,
377,398,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
378,399,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
379,400,1063,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,0.8,subclass,5.0,In silico
380,401,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
381,402,-1,,,,,
382,403,-1,,,,,
383,404,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
384,405,-1,,,,,
385,406,-1,,,,,
386,407,-1,,,,,
387,409,-1,,,,,
388,410,577,Lipids and lipid-like molecules;Fatty Acyls,0.725,class,8.0,In silico
389,411,413,Organic acids and derivatives,0.6,superclass,8.0,In silico
390,412,-1,,,,,
391,413,-1,,,,,
392,415,1468,Lipids and lipid-like molecules;Steroids and steroid derivatives,1.0,class,2.0,In silico
393,418,-1,,,,,
394,419,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
395,420,632,,,,,
396,421,-1,,,,,
397,422,112,Lipids and lipid-like molecules;Sphingolipids,1.0230769230769232,class,13.0,In silico
398,423,474,Lipids and lipid-like molecules,0.75,superclass,4.0,In silico
399,424,944,,,,,
400,425,2244,Organoheterocyclic compounds;Azoles;Thiadiazoles,1.1,subclass,5.0,In silico
401,426,-1,,,,,
402,427,-1,,,,,
403,428,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
404,429,699,Organic acids and derivatives,1.1,superclass,2.0,In silico
405,430,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
406,431,100,Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines,1.1,subclass,4.0,Library
407,432,-1,,,,,
408,433,332,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",0.8384615384615385,subclass,65.0,In silico
409,434,-1,,,,,
410,435,-1,,,,,
411,437,565,Organic nitrogen compounds;Organonitrogen compounds,1.1,class,19.0,In silico
412,438,414,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.9615384615384616,subclass,26.0,In silico
413,439,3546,Lipids and lipid-like molecules;Glycerolipids;Diradylglycerols,1.0,subclass,3.0,In silico
414,441,-1,,,,,
415,442,225,Organoheterocyclic compounds;Azoles,1.0,class,2.0,In silico
416,443,405,Organoheterocyclic compounds;Azoles;Thiadiazoles,1.0534883720930233,subclass,43.0,In silico
417,444,-1,,,,,
418,445,-1,,,,,
419,446,395,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,2.0,In silico
420,447,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
421,448,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
422,449,65,Lipids and lipid-like molecules;Sphingolipids,1.1,class,2.0,In silico
423,450,1059,Organic acids and derivatives;Carboxylic acids and derivatives,0.85,class,4.0,In silico
424,451,2583,Organoheterocyclic compounds;Diazines,1.0,class,3.0,In silico
425,452,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
426,453,-1,,,,,
427,454,-1,,,,,
428,455,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
429,456,-1,,,,,
430,457,964,,,,,
431,459,-1,,,,,
432,461,-1,,,,,
433,462,661,Organic acids and derivatives,0.6538461538461539,superclass,26.0,In silico
434,463,-1,,,,,
435,464,359,,,,,
436,465,-1,,,,,
437,466,1102,Organic nitrogen compounds;Organonitrogen compounds;Quaternary ammonium salts,1.0,subclass,1.0,In silico
438,467,497,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",0.9181818181818182,subclass,22.0,In silico
439,468,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
