experiment,feature_number,network,libraryID,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,GnpsJobID
dataset1,314,1015,Aleuritic acid,Fatty acids and conjugates,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,353,512,2-Methyl-N-(4-Methylphenyl)alanine,"Amino acids, peptides, and analogues",0.85,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,382,245,Spectral Match to Decaethylene glycol from NIST14,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,386,1015,Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14,Fatty acids and conjugates,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,434,148,"Massbank:LU052302 Acetyl tributyl citrate|tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",Tetracarboxylic acids and derivatives,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,442,2587,"Massbank:AU406506 3,6,9,12-Tetraoxatetracosan-1-ol|Tetraethylene glycol monododecyl ether|2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethanol",Ethers,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,455,5257,hyocholic acid,"Bile acids, alcohols and derivatives",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,490,4651,Sebacic acid,Lipids and lipid-like molecules,0.7,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,517,1432,Altretamine,Amines,1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,524,-1,Janerin,Terpene lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,612,97,Octapropylene glycol,Alcohols and polyols,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,616,1431,0821_triethylphosphate,Phosphate esters,1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,642,2282,Tetraethylene glycol monomethyl ether,Ethers,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,646,-1,Nebivolol,1-benzopyrans,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,660,1432,Altretamine,Amines,1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,680,-1,"(1S,8R,16S,17R)-11,12-dimethoxy-5,15-diazahexacyclo[13.4.2.0?,??.0?,??.0?,??.0?,??]henicosa-2,9,11,13-tetraen-21-one",Aminoquinolines and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,688,-1,Spectral Match to Palmitamide from NIST14,Fatty amides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,697,-1,o-Tolidine,Biphenyls and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,715,-1,Palmitoyl-L-carnitine,Fatty acid esters,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,784,74,"Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-",Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,794,393,Hexadecanedioic acid,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,796,793,Spectral Match to Dibutyl phthalate from NIST14,Benzoic acids and derivatives,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,801,2079,Icaridin,Piperidinecarboxylic acids and derivatives,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,803,5830,"Dodeca-2(E),4(E)-dienoic acid",Fatty acids and conjugates,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,836,4466,Galanthamine,Galanthamine-type amaryllidaceae alkaloids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,842,-1,4.alpha.-Hydroxystanozolol,Estrane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,881,1280,Massbank:KW104402 N-(n-octyl)-2-pyrrolidinone,N-alkylpyrrolidines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,917,2079,MassbankEU:SM822901 Icaridin|Bbutan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,Piperidinecarboxylic acids and derivatives,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,958,907,Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium,"Amino acids, peptides, and analogues",1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,968,-1,(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide,Carboximidic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,985,907,Massbank: Lauramidopropyl betaine|3-(Dodecanoylamino)propyl(carboxymethyl)dimethylammonium|carboxymethyl-[3-(dodecanoylamino)propyl]-dimethylazanium,"Amino acids, peptides, and analogues",1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,991,393,4.alpha.-Hydroxystanozolol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1006,2796,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,Glycerophosphocholines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1016,393,"5.alpha.-Pregnane-3.alpha.,11.beta.,21-triol-20-one",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1022,4392,C17-Sphinganine,Amines,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1025,741,Massbank:LU075402 2-Hydroxy-4-methoxybenzophenone|Oxybenzone|(2-hydroxy-4-methoxyphenyl)-phenylmethanone,Benzophenones,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1027,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1039,4455,Ethyl-4-dimethylaminobenzoate,Benzoic acids and derivatives,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1041,393,Etonogestrel,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1043,793,Spectral Match to Diethyl phthalate from NIST14,Benzoic acids and derivatives,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1050,393,"4-Imidazolidineheptanoic acid, 3-[(3R)-3-cyclohexyl-3-hydroxypropyl]-2,5-dioxo-, (4R)-rel-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1070,393,"9.alpha.-Fluoro-17,17-dimethyl-18-norandrostane-4,13-dien-11.beta.-ol-3-one",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1076,148,"Massbank:LU052302 Acetyl tributyl citrate|tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",Tetracarboxylic acids and derivatives,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1083,393,Methandienone,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1085,393,13-cis-Retinal,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1087,193,Palmitoleoyl ethanolamide,Carboximidic acids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1089,280,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,0.875,subclass,8,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1113,393,"2-Hydroxymethyl-17.alpha.-methylandrosta-1,4-diene-11.alpha.,17.beta.-diol-3-one",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1114,343,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,Glycerophosphoethanolamines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1132,393,16.beta.-Hydroxyfurazabol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1140,372,Triethylene glycol monobutyl ether,Ethers,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1147,393,N-Decanoyl-p-nitroaniline,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1165,-1,Massbank:LU049102 Triphenyl phosphate,Phosphate esters,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1167,1522,Lauric acid diethanolamide,Fatty amides,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1170,393,5.alpha.-Androstan-17.beta.-ol-3-one,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1172,-1,"Phenol, 5-(1,1-dimethylheptyl)-2-[(1S,3R)-3-hydroxycyclohexyl]-",Cyclohexylphenols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1182,393,"4-Androstene-11.beta.,17.beta.-diol-3-one",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1202,204,Massbank:LU119202 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate,Carboxylic acid derivatives,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1220,393,"9,12-Octadecadiynoic acid",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1231,-1,Lauric acid diethanolamide,Fatty amides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1237,-1,15(R)-15-Methylprostaglandin F2.alpha.,Eicosanoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1268,2149,"1,9-Dideoxyforskolin",Triterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1281,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1297,393,Mesterolone,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1337,605,Etilefrine,Benzene and substituted derivatives,0.8,class,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1345,99,Spectral Match to Lyso-PC(16:0) from NIST14,Glycerophosphocholines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1348,393,"Massbank:EQ303101 Xylometazoline|2-(4-tert-butyl-2,6-dimethyl-benzyl)-2-imidazoline",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1351,393,3.beta.-Hydroxy-5-cholenoic acid,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1367,1431,Tri(3-chloropropyl) phosphate,Phosphate esters,1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1369,1431,Tris(2-chloropropyl) phosphate,Phosphate esters,1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1376,605,Diethyltoluamide,Benzene and substituted derivatives,0.8,class,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1378,343,1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,Glycerophosphoethanolamines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1389,393,17.alpha.-Nandrolone,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1420,3553,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate",Diterpenoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1422,225,"2S-Amino-4E-pentadecene-1,3R-diol",Amines,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1425,393,.beta.-Estradiol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1436,-1,Undecanedioic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1459,393,"6H-Dibenzo[b,d]pyran, 3-(1,1-dimethylbutyl)-6a,7,10,10a-tetrahydro-6,6,9-trimethyl-, (6aR,10aR)-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1504,-1,Glycerol 1-myristate,Monoradylglycerols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1527,74,"Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-",Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1538,4464,Diphenylamine,Aniline and substituted anilines,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1542,-1,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol",Benzyl alcohols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1587,393,"Phenol, 5-(1,1-dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]-, rel-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1594,5729,"MassbankEU:SM878101 Triethylcitrate|triethyl 2-hydroxypropane-1,2,3-tricarboxylate",Tricarboxylic acids and derivatives,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1616,1726,Linoleoylglycine,"Amino acids, peptides, and analogues",1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1623,793,Spectral Match to Dibutyl phthalate from NIST14,Benzoic acids and derivatives,1,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1634,-1,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-",Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1641,1099,Ametryne,Organoheterocyclic compounds,1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1645,5736,Dodecanedioic acid,Fatty acids and conjugates,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1650,1067,Caffeine,Organoheterocyclic compounds,0.6666666666666666,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1678,5297,Mesterolone,Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1702,74,.alpha.-Ionone,Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1714,2304,cis-2-Decenoic acid,Fatty acids and conjugates,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1741,-1,Desoxypipradrol,Diphenylmethanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1768,-1,Euphorbiasteroid,Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1778,627,"15-Deoxy-.DELTA.12,14-prostaglandin D2",Lipids and lipid-like molecules,1,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1779,5283,Massbank:EQ358904 Tributylphosphine oxide|Tri-n-butylphosphine oxide,Steroids and steroid derivatives,0.7666666666666666,class,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1788,1432,Altretamine,Amines,1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1789,4468,"2,5-Cyclohexadiene-1,4-dione, 3-hydroxy-2-[(1R,6R)-3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl]-5-pentyl-",Lipids and lipid-like molecules,1.1,superclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1792,718,"Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14",Carbonyl compounds,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1802,4651,Norharmane,Lipids and lipid-like molecules,0.7,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1806,-1,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14,Glycerophosphoethanolamines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1837,5297,Mesterolone,Androstane steroids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1873,-1,Jasmonic acid,Lineolic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1876,74,.alpha.-Ionone,Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1888,-1,"2,4,6-Tri-tert-butylaniline",Phenylpropanes,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1973,393,"1,2-Benzenediamine, 4-methyl-N1-(3-phenylpropyl)-",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1976,-1,Farnesyl acetate,Sesquiterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,1988,1642,Undecanedioic acid,Fatty acids and conjugates,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2005,627,all-trans-4-Hydroxyretinoic acid,Lipids and lipid-like molecules,1,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2012,-1,Gatifloxacin,Quinoline carboxylic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2014,393,Estriol,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2025,107,cis-Pinonic acid,Lipids and lipid-like molecules,0.5555555555555556,superclass,9,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2058,-1,"Heptanedioic acid, 1-[2-[(2-carboxyphenyl)methylene]hydrazide]",Benzoic acids and derivatives,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2061,952,Massbank:LU035902 Dibenzylamine|N-benzyl-1-phenylmethanamine,Phenylmethylamines,0.8333333333333334,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2062,2833,Hexaethylene glycol,Ethers,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2084,627,"15-Deoxy-.DELTA.12,14-prostaglandin D2",Lipids and lipid-like molecules,1,superclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2105,-1,Tributylamine,Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2106,-1,Vitamin K2(20),Diterpenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2112,5053,.alpha.-Pyrrolidinohexanophenone,Carbonyl compounds,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2123,-1,"3-Quinolinecarboxamide, 1,4-dihydro-6-(1-methylethyl)-4-oxo-1-pentyl-N-tricyclo[3.3.1.1(3,7)]dec-1-yl-",Quinoline carboxamides,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2128,849,Isosteviol,Diterpenoids,1.1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2168,605,Massbank:FIO00397 Rebemide,Benzene and substituted derivatives,0.8,class,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2192,-1,Cycloheximide,Piperidinones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2202,2766,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Gamma butyrolactones,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2212,21,Isovaleryl-L-carnitine,Fatty acid esters,1,subclass,21,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2217,-1,"N,N-Diisopropylaniline",Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2226,107,cis-Pinonic acid,Lipids and lipid-like molecules,0.5555555555555556,superclass,9,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2233,-1,Articaine HCl,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2255,3380,"8S-Hydroxy-4Z,6E,10Z-hexadecatrienoic acid",Fatty acids and conjugates,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2260,-1,cis-2-Decenoic acid,Fatty acids and conjugates,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2267,-1,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-",Gamma butyrolactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2278,1239,"Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",Sesquiterpenoids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2287,427,11.beta.-Prostaglandin E2,Lipids and lipid-like molecules,1,superclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2288,1239,"Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",Sesquiterpenoids,1.1,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2296,-1,Gatifloxacin,Quinoline carboxylic acids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2431,247,Spectral Match to N-Acetyl-D-glucosamine from NIST14,Carbohydrates and carbohydrate conjugates,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2456,393,"5.alpha.-Pregnane-3.alpha.,21-diol-11,20-dione",Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2458,-1,Bamethane,1-hydroxy-2-unsubstituted benzenoids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2467,393,Boldenone sulfate,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2471,1003,Pentedrone,Carbonyl compounds,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2477,-1,Lys-Asn,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2481,1827,"16.alpha.,17,21-Trihydroxypregna-1,4-diene-3,11,20-trione",Lipids and lipid-like molecules,0.75,superclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2498,393,Desogestrel,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2508,5064,"1-[4,5-bis(hydroxymethyl)-3-methoxy-2-methylphenoxy]-3-methylbutane-2,3-diol",Benzyl alcohols,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2510,-1,"Methanone, (1-heptyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)-",N-alkylindoles,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2515,393,17.alpha.-Nandrolone,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library,16616afa8edd490ea7e50cc316a20222
dataset1,2519,1827,"4,6-Quinazolinediamine, N4-[2-(4-phenoxyphenyl)ethyl]-",Lipids and lipid-like molecules,0.75,superclass,4,Library,16616afa8edd490ea7e50cc316a20222
